YV2A2128	%Q85.1	 BOOL
2128_Reset	%Q84.4	 BOOL
SQ1A2129	%I88.2	 BOOL
SQ2A2129	%I88.3	 BOOL
YV1A2129	%Q85.2	 BOOL
YV2A2129	%Q85.3	 BOOL
QF2130	%I88.4	 BOOL
2130_Running	%I88.5	 BOOL
BQ1A2130	%I88.6	 BOOL
2130_FW	%Q85.4	 BOOL
2130_BW	%Q85.5	 BOOL
QF2131	%I89.0	 BOOL
2131_Running	%I89.1	 BOOL
BQ1A2131	%I89.2	 BOOL
BQ2A2131	%I89.3	 BOOL
BQ3A2131	%I89.4	 BOOL
2131_FW	%Q85.6	 BOOL
2131_BW	%Q85.7	 BOOL
QF2132	%I89.5	 BOOL
2132_Running	%I89.6	 BOOL
BQ1A2132	%I89.7	 BOOL
2132_FW	%Q86.0	 BOOL
2132_BW	%Q86.1	 BOOL
QF2133	%I90.0	 BOOL
2133_Running	%I90.1	 BOOL
BQ1A2133	%I90.2	 BOOL
BQ2A2133	%I90.3	 BOOL
2133_FW	%Q86.2	 BOOL
2133_BW	%Q86.3	 BOOL
QS02	%I91.7	 BOOL
